微博id,微博正文,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Hv3oV2CEv,[置顶]祝大家世界蜜蜂日快乐🐝努力努力xxxx的美拍  ,无,2019-05-20 13:14,无,288052,1000000,217521
Hx4EhlNW9,本期#极限挑战#我们来到了海洋公园 不仅遇见了海狮等很多可爱的海洋生物 还认识到了环境破坏对它们的危害 你们知道#能为海洋动物做的事#有哪些吗？带话题词发布微博 为海洋生态保护努力 和我一起开启大航海行动[海浪]努力努力xxxx的美拍  ,无,2019-06-02 20:06,无,157272,250751,56325
HwZfKaSpp,转发微博已被删除,无,2019-06-02 06:21,无,293384,628407,112528
Hw7QMBEuR,"转发理由:如果最后几场演唱会票都卖完了还有粉丝朋友们买不到票 我会考虑加场 我宁可演唱会现场有些座位空着 也不想大家花冤枉钱买黄牛票 感谢大家的支持 我继续练习去了  
原始用户: 张艺兴工作室
转发内容: #张艺兴[超话]##张艺兴2019大航海巡回演唱会#上海站预售8秒全面售罄！7月6日，邀你共赴一场视听盛宴[米奇比心]#张艺兴个人巡回演唱会#  原图 ",无,2019-05-27 14:24,无,230936,352016,103134
Hw6ZNmxsS,和你一起 即刻起航[游轮]  [组图共2张] 原图 ,无,2019-05-27 12:14,无,279850,1000000,170024
Hw24SDXud,转发微博已被删除,无,2019-05-26 23:43,无,225974,1000000,113288
HvF6yfgZB,和你一起  原图 ,无,2019-05-24 13:14,微博 weibo.com,305837,1000000,156012
HvEcR9MZ4,"转发理由:我想来 生日快乐  哥哥们想你们了 //@黄磊微博:#极限挑战# 这么特别的日子得再好好庆祝一下啊！今晚我弄一桌拿手菜，谁一起来？  已
原始用户: 东方卫视极限挑战
转发内容: 524 IU! 上海外滩滨江星大屏为#极限挑战# 庆生！ 在这个特别的日子里，祝极限挑战生日快乐。祝极挑大家庭成员的每一位，生日快乐！@黄渤 @孙红雷 @黄磊微博 @羅志祥 @演员王迅 @努力努力再努力x @Dear-迪丽热巴 @岳云鹏 @雷佳音  东方卫视极限挑战的微博视频  ",无,2019-05-24 10:56,无,167043,165412,30168
HvbjBaIEr,🤷♂️这就是集结号 ！！ 努力努力再努力x的微博视频  ,无,2019-05-21 09:23,无,237653,1000000,162888
HuxHJiTe3,转发微博已被删除,无,2019-05-17 04:33,无,250220,1000000,144083
HuqUKf74L,#越热越爱走出去# 可以随身携带的 除了我的BGM 还有我最新代言的王老吉#怕上火，喝王老吉# @王老吉官方微博努力努力xxxx的美拍  ,无,2019-05-16 11:16,无,233161,1000000,135362
Hul4C96ch,转发微博已被删除,无,2019-05-15 20:24,无,283979,695128,87692
HtK0fuO3U,转发微博已被删除,无,2019-05-11 22:01,无,320481,1000000,179661
HtB2Ot1oL,转发微博已被删除,无,2019-05-10 23:13,无,355518,1000000,145734
HtiBItLVX,转发微博已被删除,无,2019-05-09 00:17,无,278570,1000000,157715
